l0_name,l1_name,l2_name,l0_id,l1_id,l2_id
Engineering,Aerospace engineering,Charaxes etesipe,127413603,146978453,2777205389
Engineering,Aerospace engineering,Charaxes etheocles,127413603,146978453,2776629630
Engineering,Aerospace engineering,Charaxes eudoxus,127413603,146978453,2778789585
Engineering,Aerospace engineering,Charaxes mixtus,127413603,146978453,2777825678
Engineering,Aerospace engineering,Charaxes tiridates,127413603,146978453,2778126471
Engineering,Aerospace engineering,Charaxes varanes,127413603,146978453,2777225708
Engineering,Aerospace engineering,Charaxes xiphares,127413603,146978453,2776839085
Engineering,Aerospace engineering,Chassis,127413603,146978453,512993513
Engineering,Aerospace engineering,Check-in,127413603,146978453,2776004034
Engineering,Aerospace engineering,Chloroclysta miata,127413603,146978453,2781019258
Engineering,Aerospace engineering,Choke valve,127413603,146978453,2777259393
Engineering,Aerospace engineering,Circular error probable,127413603,146978453,2780653431
Engineering,Aerospace engineering,Circulation (fluid dynamics),127413603,146978453,11111821
Engineering,Aerospace engineering,Climb,127413603,146978453,2778168010
Engineering,Aerospace engineering,Cockpit,127413603,146978453,30322324
Engineering,Aerospace engineering,Coil bind,127413603,146978453,2778886694
Engineering,Aerospace engineering,Cold start (automotive),127413603,146978453,2778956030
Engineering,Aerospace engineering,Collapsible flow,127413603,146978453,2777130207
Engineering,Aerospace engineering,Command and control,127413603,146978453,506615639
Engineering,Aerospace engineering,Command guidance,127413603,146978453,2778624799
Engineering,Aerospace engineering,Common wood-nymph,127413603,146978453,2781294072
Engineering,Aerospace engineering,Compressibility,127413603,146978453,84655787
Engineering,Aerospace engineering,Compression lift,127413603,146978453,2779391482
Engineering,Aerospace engineering,Computational fluid dynamics,127413603,146978453,1633027
Engineering,Aerospace engineering,Conductor gallop,127413603,146978453,2779155261
Engineering,Aerospace engineering,Connecting rod,127413603,146978453,189441244
Engineering,Aerospace engineering,Control arm,127413603,146978453,2778880599
Engineering,Aerospace engineering,Conventional weapon,127413603,146978453,2780480774
Engineering,Aerospace engineering,Convertible,127413603,146978453,2776116443
Engineering,Aerospace engineering,Countdown,127413603,146978453,2779700847
Engineering,Aerospace engineering,Countermeasure,127413603,146978453,21593369
Engineering,Aerospace engineering,Course (navigation),127413603,146978453,2777552389
Engineering,Aerospace engineering,Cowling,127413603,146978453,130670123
Engineering,Aerospace engineering,Crankshaft,127413603,146978453,2776981777
Engineering,Aerospace engineering,Crawford burner,127413603,146978453,2778870221
Engineering,Aerospace engineering,Critical area,127413603,146978453,2779754485
Engineering,Aerospace engineering,Critical engine,127413603,146978453,2778345969
Engineering,Aerospace engineering,Crossflow cylinder head,127413603,146978453,2776759701
Engineering,Aerospace engineering,Crossmember,127413603,146978453,2776509393
Engineering,Aerospace engineering,Crosswind,127413603,146978453,95082708
Engineering,Aerospace engineering,Cruise,127413603,146978453,2778821358
Engineering,Aerospace engineering,Crumple zone,127413603,146978453,185191675
Engineering,Aerospace engineering,Crunchiness,127413603,146978453,2777732266
Engineering,Aerospace engineering,Cryogenic fuel,127413603,146978453,204353038
Engineering,Aerospace engineering,Cryotank,127413603,146978453,22495355
Engineering,Aerospace engineering,Cubic centimetre,127413603,146978453,51480475
Engineering,Aerospace engineering,Cubic inch,127413603,146978453,2778712220
Engineering,Aerospace engineering,Curb weight,127413603,146978453,76713136
Engineering,Aerospace engineering,Cylinder (engine),127413603,146978453,53361980
Engineering,Aerospace engineering,Dashboard,127413603,146978453,33499554
Engineering,Aerospace engineering,Data link,127413603,146978453,182132293
Engineering,Aerospace engineering,Davis wing,127413603,146978453,43859260
Engineering,Aerospace engineering,Delco Carousel,127413603,146978453,2776459954
Engineering,Aerospace engineering,Delta,127413603,146978453,5072461
Engineering,Aerospace engineering,Delta-v budget,127413603,146978453,75177800
Engineering,Aerospace engineering,Descent (aeronautics),127413603,146978453,2776637919
